x_value,total_1,total_2
0,1000,1000
1,1006,1001
2,1004,1002
3,1002,1005
4,1005,1006
5,1003,1002
6,1001,1004
7,1000,1010
8,999,1014
9,1006,1010
10,1001,1010
11,1004,1009
12,1007,1004
13,1002,1009
14,1008,1011
15,1009,1012
16,1007,1010
17,1014,1009
18,1011,1009
19,1018,1008
20,1021,1013
21,1021,1016
22,1025,1019
23,1028,1016
24,1024,1019
25,1027,1018
26,1034,1022
27,1038,1025
28,1032,1025
29,1036,1028
30,1035,1026
31,1041,1023
32,1038,1022
33,1039,1020
34,1046,1016
35,1044,1022
36,1049,1027
37,1056,1032
38,1060,1036
39,1066,1042
40,1072,1043
41,1079,1038
42,1082,1034
43,1079,1031
44,1077,1034
45,1073,1034
46,1074,1040
47,1068,1040
48,1068,1045
49,1076,1047
50,1077,1046
51,1077,1048
52,1075,1048
53,1082,1054
54,1080,1055
55,1079,1055
56,1082,1057
57,1085,1063
58,1080,1069
59,1081,1073
60,1087,1070
61,1083,1071
62,1088,1070
63,1096,1067
64,1093,1063
65,1096,1060
66,1098,1058
67,1103,1056
68,1109,1057
69,1115,1061
70,1115,1065
71,1120,1065
72,1118,1061
73,1112,1056
74,1108,1051
75,1113,1052
76,1116,1055
77,1114,1056
78,1118,1052
79,1119,1049
80,1117,1045
81,1119,1048
82,1117,1043
83,1118,1044
84,1126,1050
85,1129,1045
86,1127,1045
87,1122,1041
88,1118,1038
89,1119,1033
90,1118,1039
91,1113,1044
92,1120,1047
93,1123,1053
94,1128,1053
95,1125,1049
96,1122,1045
97,1122,1046
98,1123,1047
99,1118,1047
100,1123,1046
101,1117,1050
102,1112,1045
103,1119,1049
104,1116,1050
105,1121,1052
106,1127,1048
107,1123,1054
108,1121,1051
109,1121,1055
110,1128,1050
111,1131,1049
112,1136,1050
113,1144,1055
114,1151,1061
115,1149,1057
116,1147,1059
117,1149,1055
118,1145,1060
119,1139,1059
120,1139,1059
121,1135,1064
122,1134,1063
123,1134,1067
124,1137,1072
125,1133,1076
126,1140,1076
127,1138,1075
128,1133,1078
129,1136,1081
130,1144,1087
131,1149,1088
132,1144,1085
133,1144,1088
